id,Long,Lat
964,32.637,34.74
965,32.637,34.752
966,32.637,34.764
967,32.637,34.776
968,32.637,34.788
969,32.637,34.8
970,32.637,34.812
971,32.637,34.824
972,32.637,34.836
973,32.637,34.848
974,32.637,34.86
975,32.637,34.872
976,32.637,34.884
977,32.637,34.896
978,32.637,34.908
979,32.637,34.92
980,32.637,34.932
981,32.637,34.944
982,32.637,34.956
983,32.637,34.968
984,32.637,34.98
985,32.637,34.992
986,32.637,35.004
987,32.637,35.016
988,32.637,35.028
989,32.637,35.04
990,32.637,35.052
991,32.637,35.064
992,32.637,35.076
993,32.637,35.088
994,32.637,35.1
995,32.637,35.112
996,32.637,35.124
997,32.637,35.136
998,32.637,35.148
999,32.637,35.16
1000,32.637,35.172
1001,32.637,35.184
1002,32.637,35.196
1003,32.648,34.656
1004,32.648,34.668
1005,32.648,34.68
1006,32.648,34.692
1007,32.648,34.704
1008,32.648,34.716
1009,32.648,34.728
1010,32.648,34.74
1011,32.648,34.752
1012,32.648,34.764
1013,32.648,34.776
1014,32.648,34.788
1015,32.648,34.8
1016,32.648,34.812
1017,32.648,34.824
1018,32.648,34.836
1019,32.648,34.848
1020,32.648,34.86
1021,32.648,34.872
1022,32.648,34.884
1023,32.648,34.896
1024,32.648,34.908
1025,32.648,34.92
1026,32.648,34.932
1027,32.648,34.944
1028,32.648,34.956
1029,32.648,34.968
1030,32.648,34.98
1031,32.648,34.992
1032,32.648,35.004
1033,32.648,35.016
1034,32.648,35.028
1035,32.648,35.04
1036,32.648,35.052
1037,32.648,35.064
1038,32.648,35.076
1039,32.648,35.088
1040,32.648,35.1
1041,32.648,35.112
1042,32.648,35.124
1043,32.648,35.136
1044,32.648,35.148
1045,32.648,35.16
1046,32.648,35.172
1047,32.648,35.184
1048,32.648,35.196
1049,32.659,34.644
1050,32.659,34.656
1051,32.659,34.668
1052,32.659,34.68
1053,32.659,34.692
1054,32.659,34.704
1055,32.659,34.716
1056,32.659,34.728
1057,32.659,34.74
1058,32.659,34.752
1059,32.659,34.764
1060,32.659,34.776
1061,32.659,34.788
1062,32.659,34.8
1063,32.659,34.812
1064,32.659,34.824
1065,32.659,34.836
1066,32.659,34.848
1067,32.659,34.86
1068,32.659,34.872
1069,32.659,34.884
1070,32.659,34.896
1071,32.659,34.908
1072,32.659,34.92
1073,32.659,34.932
1074,32.659,34.944
1075,32.659,34.956
1076,32.659,34.968
1077,32.659,34.98
1078,32.659,34.992
1079,32.659,35.004
1080,32.659,35.016
1081,32.659,35.028
